,Expediente,ID de publicación en TED,Órgano de Contratación,ID del Órgano de Contratación,Estado de la Licitación,Objeto del contrato,Financiación UE,Presupuesto base de licitación sin impuestos,Valor estimado del contrato:,Tipo de Contrato:,Código CPV,Lugar de Ejecución,Sistema de contratación,Procedimiento de contratación,Tipo de tramitación,Método de presentación de la oferta,Fecha fin de presentación de oferta,Resultado,Adjudicatario,Nº de Licitadores Presentados,Importe de Adjudicación,Lote / Descripción ,Fecha fin de presentación de solicitud
591,236_2024_109,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Procedimiento abierto simplificado para para la contratación de obras comprendidas en el proyecto de sustitución de carpinterías exteriores en la antigua sede del edificio de educación infantil del CEIP Emilia Pardo Bazán.,No hay financiación con fondos de la UE,"119,847.92 Euros","119,847.92 Euros",Obras,"45421132-Instalación de ventanas., 44221100-Ventanas., 45421160-Trabajos de cerrajería y carpintería metálica.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,Aluman Sistemas SLU,2,"117,450.96 Euros",No disponible,nan
592,236_2024_93,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento abierto simplificado abreviado para la contratación del servicio para el desarrollo del programa “O Cinema na Escola”.,No hay financiación con fondos de la UE,"27,345.32 Euros","54,690.63 Euros",Servicios,"80510000-Servicios de formación especializada., 80530000-Servicios de formación profesional.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,14/06/2024 23:59,Adjudicado,"VISIÓN LÍQUIDA, S.L.",2,"23,780.00 Euros",No disponible,nan
593,521_2023_680,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Mejora en la red de pluviales en la Urbanización Breogán: calle Félix Rodríguez de la Fuente (Segunda Fase POS+Adicional 2/2023),No hay financiación con fondos de la UE,"284,037.32 Euros","284,037.32 Euros",Obras,45232410-Obras de saneamiento.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,BCNOR Gestion y Soluciones Avanzadas S.L.,5,"261,000.00 Euros",No disponible,nan
594,CI1_2023_641,3fec317b-7bb2-4909-9ac3-e5602b889e74,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Procedimiento abierto para la contratación del servicio de montaje de las exposiciones del Servicio de Cultura del Ayuntamiento de A Coruña,No hay financiación con fondos de la UE,"50,909.54 Euros","305,457.24 Euros",Servicios,"63100000-Servicios de carga, descarga y almacenamiento., 63110000-Servicios de manipulación de la carga., 79950000-Servicios de organización de exposiciones, ferias y congresos., 79956000-Servicios de organización de ferias y exposiciones., 92521000-Servicios de museos.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Formalizado,SAVISU SOLUCIONES S.L.,6,"41,000.00 Euros",No disponible,nan
595,230_2023_387,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Servicio de Mantenimiento de los ascensores y otros aparatos elevadores en los Museos Científicos,No hay financiación con fondos de la UE,"4,375.61 Euros","17,576.24 Euros",Servicios,50750000-Servicios de mantenimiento de ascensores.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,24/05/2024 23:59,Adjudicado,"TK Elevadores España,S.L.",6,"2,944.00 Euros",No disponible,nan
596,CI1_2024_98,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Procedimiento abierto simplificado para el contrato de ejecución de las obras descritas en el Proyecto de obras de conservación y mantenimiento de la 1ª planta de la Casa Picasso, situada en la calle Payo Gómez, núm. 14 en A Coruña.",No hay financiación con fondos de la UE,"88,774.25 Euros","5,579.79 Euros",Obras,45420000-Trabajos de instalación de carpintería de madera.,España - España,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"CITANIAS OBRAS Y SERVICIOS, S.L.U.",4,"86,847.85 Euros",No disponible,nan
597,430_2023_9 L1,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Contratación, por lotes, del suministro de vestuario y otras prendas con destino al personal cuyo cometido lo requiere: Servicio de Prevención y Extinción de Incendios (SEIS), Servicios Funerarios y Servicio de Interior y Atención Ciudadana (protocolo y conserjería); Lote 1, suministro de ropa de uniformidad para el SEIS",No hay financiación con fondos de la UE,"26,024.95 Euros","62,459.88 Euros",Suministros,"35811100-Uniformes para el cuerpo de bomberos., 18410000-Prendas de vestir especiales.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"SAGRES, S.L.",1,"18,181.82 Euros",No disponible,nan
598,526_2023_50,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Parcialmente Resuelta,"Contrato de servicios para la impartición de las acciones formativas presenciales del Servicio Municipal de Empleo y Empresa. Programación 3/23, por lotes.",No hay financiación con fondos de la UE,"133,910.61 Euros","133,910.61 Euros",Servicios,80000000-Servicios de enseñanza y formación.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,15/01/2024 23:59,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
599,10C_2024_2,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Procedimiento abierto simplificado abreviado para la contratación del servicio o de instalación, retirada y mantenimiento de la megafonía del servicio de salvamento en las playas de A Coruña.",No hay financiación con fondos de la UE,"7,560.64 Euros","15,121.29 Euros",Servicios,"50342000-Servicios de reparación y mantenimiento de equipos de audio., 45255400-Trabajos de montaje., 48952000-Sistemas de megafonía., 50800000-Servicios varios de reparación y mantenimiento., 51100000-Servicios de instalación de equipos eléctrico y mecánico.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,28/05/2024 23:59,Adjudicado,CONSTRUCCIONES E INSTALACIONES ORFA S.L.,3,"6,153.30 Euros",No disponible,nan
600,236_2024_57,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Procedimiento abierto simplificado para la contratación de obras incluidas en el proyecto para la reforma del patio del CEIP Ramón de la Sagra.,No hay financiación con fondos de la UE,"190,094.65 Euros","190,094.65 Euros",Obras,"45112711-Trabajos de paisajismo en parques., 45112723-Trabajos de paisajismo en parques infantiles.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,Jardineria Arce S.L.,1,"182,110.68 Euros",No disponible,nan
601,105_2024_1844,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Servicio de transporte por carretera en autocar para la realización de salidas de carácter sociocultural por el territorio de la comunidad autónoma de Galicia,No hay financiación con fondos de la UE,"28,059.05 Euros","56,118.10 Euros",Servicios,60130000-Servicios especiales de transporte de pasajeros por carretera.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,06/05/2024 23:59,Adjudicado,"AUTOCARES ANTONIO VAZQUEZ, S. A.",2,"13,125.00 Euros",No disponible,nan
602,237_2024_16,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Suministro de Pellet para la caldera de biomasa del Centro de Información a las mujeres,No hay financiación con fondos de la UE,"4,576.00 Euros","11,897.60 Euros",Suministros,09111400-Combustibles de madera.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,04/04/2024 23:59,Adjudicado,"ACTTIA MEDIOAMBIENTAL, S.L.",3,"4,576.00 Euros",No disponible,nan
603,521_2023_68,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Obras comprendidas en el proyecto de Carril bici en Novo Mesoiro - Presupuestos Participativos 2021,No hay financiación con fondos de la UE,"114,066.93 Euros","114,066.93 Euros",Obras,45233252-Trabajos de pavimentación de calles.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"SUCCESS INFRAESTRUCTURAS Y SERVICIOS, S.A.",3,"110,770.40 Euros",No disponible,nan
604,521_2020_1017,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Reurbanización Rampa del Matadero, financiado con los fondos Next Generation EU","Asociado al Plan de Recuperación, Transformación y Resiliencia","453,606.01 Euros","453,606.01 Euros",Obras,45233252-Trabajos de pavimentación de calles.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"ABECONSA, S.L.U.",7,"430,245.30 Euros",No disponible,nan
605,521_2021_449,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Procedimiento abierto simplificado para la contratación de las obras de ejecución de una glorieta en el cruce de la Avenida de Finisterre con la calle Gambrinus, financiado por la Unión Europea - Next Generation","Asociado al Plan de Recuperación, Transformación y Resiliencia","322,790.03 Euros","322,790.03 Euros",Obras,45233252-Trabajos de pavimentación de calles.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"CANARGA, S.L.",1,"319,238.84 Euros",No disponible,nan
606,521_2022_807,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Procedimiento abierto simplificado para la contratación de las obras de mejora de la accesibilidad en el entorno del CEIP Salgado Torres y Reurbanización de la Plaza Pintor Laxeiro, financiado por la Unión Europea - Next Generation","Asociado al Plan de Recuperación, Transformación y Resiliencia","335,772.19 Euros","335,772.19 Euros",Obras,45233252-Trabajos de pavimentación de calles.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,Jardineria Arce S.L.,5,"320,662.44 Euros",No disponible,nan
607,521_2022_1024,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Contratación de obras comprendidas en el proyecto de carril bici en la Avenida de Arteixo, entre la Ronda de Nelle y A Sardiñeira, presupuestos participativos 2021",No hay financiación con fondos de la UE,"113,965.27 Euros","113,965.27 Euros",Obras,45233252-Trabajos de pavimentación de calles.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"CANARGA, S.L.",2,"111,115.70 Euros",No disponible,nan
608,430_2023_13,85b8f381-4ab8-4094-b80c-b643cde267b1,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicio de Seguridad y Vigilancia y el Suministro e Instalación, Gestión y Mantenimiento de Sistemas Electrónicos de Seguridad y Vídeo Vigilancia, Servicio de Conexión a CRA, Servicio de Custodia de Llaves en Central Receptora de Alarmas (CRA), y de Intervención Inmediata (ACUDA) en los Edificios e Instalaciones Municipales Vinculados con el Servicio de Deportes del Concello de A Coruña",No hay financiación con fondos de la UE,"435,115.13 Euros","522,138.14 Euros",Servicios,"79710000-Servicios de seguridad., 31625300-Sistemas de alarma antirrobo., 35121700-Sistemas de alarma., 50610000-Servicios de reparación y mantenimiento de equipos de seguridad., 79711000-Servicios de vigilancia de sistemas de alarma., 79714000-Servicios de vigilancia.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Formalizado,"Servicios SPR Vilanova, SL",1,"414,575.49 Euros",No disponible,nan
609,541_2023_745,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Obras incluidas en el proyecto básico de ejecución denominado “Reparación de elementos estructurales afectados por la corrosión del acero en la Estación de Bombeo de San Roque”.,No hay financiación con fondos de la UE,"126,323.47 Euros","126,323.47 Euros",Obras,45262330-Trabajos de reparación de hormigón.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"GROMA OBRAS, S.L.",1,"120,714.71 Euros",No disponible,nan
610,521_2022_981,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Mejora de la Accesibilidad Pasarela de la calle Fonte Grande y Mitigación del riesgo de inundación del cauce del río Mesoiro. POS+2023,No hay financiación con fondos de la UE,"106,449.76 Euros","106,449.76 Euros",Obras,"45233252-Trabajos de pavimentación de calles., 45223000-Trabajos de construcción de estructuras., 45232410-Obras de saneamiento.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,Construcciones D. Ogando SL,3,"104,026.30 Euros",No disponible,nan
611,430_2023_9,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Parcialmente Resuelta,"Contratación, por lotes, del suministro de vestuario y otras prendas con destino al personal cuyo cometido lo requiere: Servicio de Prevención y Extinción de Incendios (SEIS), Servicios Funerarios y Servicio de Interior y Atención Ciudadana (protocolo y conserjería)",No hay financiación con fondos de la UE,"26,024.95 Euros","62,459.88 Euros",Suministros,"18410000-Prendas de vestir especiales., 18100000-Ropa de trabajo, ropa de trabajo especial y accesorios., 35811100-Uniformes para el cuerpo de bomberos.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,21/11/2023 23:59,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
612,211_2023_882,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicios de organización de la carrera popular Media Maratón Coruña C21 en la ciudad de A Coruña en el año 2024, que se va a realizar en esta ciudad el día 25 de febrero de 2024. Paralelamente y aprovechando la infraestructura del evento se organizará una carrera popular de 5 Km de recorrido que servirá como entrenamiento para el circuito de carrera.",No hay financiación con fondos de la UE,"21,659.40 Euros","50,009.40 Euros",Servicios,92622000-Servicios de organización de espectáculos deportivos.,España - A Coruña,No aplica,Negociado sin publicidad,Ordinaria,Electrónica,nan,Formalizado,Federación Galega de Atletismo,1,"21,659.40 Euros",No disponible,nan
613,231_2022_231,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Acuerdo Marco de suministro de fondos bibliográficos y audiovisuales con destino a la red municipal de bibliotecas del Ayuntamiento de A Coruña, por lotes",No hay financiación con fondos de la UE,"93,420.22 Euros","280,263.00 Euros",Suministros,"22113000-Libros para biblioteca., 32321300-Materiales audiovisuales.",España - A Coruña,Establecimiento del Acuerdo Marco,Abierto,Ordinaria,Electrónica,nan,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
614,238_2023_294,1e53463c-aec7-4640-960d-1b3d7d739593,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicio de Diseño, Organización e Impartición de un Programa de Capacitación en Competencias Digitales de Soporte para Jóvenes con Prácticas en Empresas y Apoyo a la Inserción Laboral en el Marco de la Operación LA-32-OP32.1 (Cofinanciadas en un 80 % por el Fondo Europeo de Desarrollo Regional (Feder) en el Marco del Programa Operativo Plurirregional de España 2014-2020 (LA32-Op.32.1)",Fondo Europeo de Desarrollo Regional,"64,800.00 Euros","333,132.38 Euros",Servicios,"80400000-Servicios de enseñanza para adultos y otros servicios de enseñanza., 80500000-Servicios de formación., 80510000-Servicios de formación especializada.",España - A Coruña,No aplica,Abierto,Urgente,Electrónica,nan,Desierto,,0,Euros,No disponible,nan
615,238_2023_71 L2,0692a951-e85f-492c-9271-3b83e271d10d,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Adquisición de una herramienta de carga y gestión de la información, implementación del nuevo Observatorio Urbano - Observatorio Municipal de Igualdad, Diversidad y Sostenibilidad de A Coruña (NOU-OMIDS) y para la puesta en funcionamiento de una nueva web NOU-OMIDS. Lote 2",Fondo Europeo de Desarrollo Regional,"100,811.30 Euros","333,132.38 Euros",Suministros,"48000000-Paquetes de software y sistemas de información., 72000000-Servicios TI: consultoría, desarrollo de software, Internet y apoyo.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Formalizado,"AUREN CONSULTORES SP, S.L.P.",1,"39,200.00 Euros",No disponible,nan
616,851_2023_46,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento abierto simplificado abreviado para contratar el servicio de mantenimiento de ascensores y escaleras mecánicas de la estación de autobuses de A Coruña,No hay financiación con fondos de la UE,"26,528.77 Euros","53,377.66 Euros",Servicios,"50750000-Servicios de mantenimiento de ascensores., 50740000-Servicios de reparación y mantenimiento de escaleras mecánicas.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,02/08/2023 23:59,Adjudicado,"TK Elevadores España,S.L.",4,"15,839.60 Euros",No disponible,nan
617,524_2023_5,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicio de Gerencia y Asistencia Técnica en la Ejecución y Desarrollo del Plan de Sostenibilidad Turística ""A Coruña Sostenible y Digital""",No hay financiación con fondos de la UE,"42,535.58 Euros","127,606.74 Euros",Servicios,72224000-Servicios de consultoría en gestión de proyectos.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Formalizado,Cinfo Contenidos Informativos Personalizados SL,3,"38,400.00 Euros",No disponible,nan
618,236_2022_150,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Servicio de organización y gestión de un programa educativo para cursar 1ª de bachillerato en EE.UU. durante el curso 2023/2024.,No hay financiación con fondos de la UE,"650,000.00 Euros","650,000.00 Euros",Servicios,63515000-Servicios de viajes.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Desierto,,0,Euros,No disponible,nan
619,230_2023_71,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Procedimiento abierto simplificado abreviado para la contratación del servicio de mantenimiento de los equipos de alta y baja presión del Aquarium Finisterrae,No hay financiación con fondos de la UE,"3,820.45 Euros","19,102.25 Euros",Servicios,"50530000-Servicios de reparación y mantenimiento de maquinaria., 50531300-Servicios de reparación y mantenimiento de compresores.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
620,526_2023_19,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Parcialmente Resuelta,Servicios para la Impartición de Acciones Formativas Presenciales del Servicio Municipal de Empleo y Empresa. Por lotes. Programación 2/23.,No hay financiación con fondos de la UE,"139,794.79 Euros","139,794.79 Euros",Servicios,80000000-Servicios de enseñanza y formación.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,10/05/2023 23:59,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
621,541_2022_1266,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Suministro, instalación y mejora del Mobiliario ENIL Torre de Hércules, cofinanciado en un 80 % por el Fondo Europeo de Desarrollo Regional (FEDER) en el marco del Programa Operativo Plurirregional de España 2014-2020",Fondo Europeo de Desarrollo Regional,"184,998.77 Euros","184,998.77 Euros",Suministros,34928400-Mobiliario urbano.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Formalizado,IAM RUMBO INSTALACIONES Y OBRAS S.L.,2,"172,973.85 Euros",No disponible,nan
622,521_2021_158,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Obras contenidas en el proyecto constructivo ""Glorieta en As Rañas"" - (Financiado por la Diputación de A Coruña POS+2022)",No hay financiación con fondos de la UE,"282,892.50 Euros","282,892.50 Euros",Obras,45233252-Trabajos de pavimentación de calles.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"CANARGA, S.L.",2,"278,648.76 Euros",No disponible,nan
623,238_2022_523,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicios de Gestión, Coordinación y Dinamización del Espacio para la Juventud de la Plaza José Toubes Pego - O Remanso",No hay financiación con fondos de la UE,"42,535.68 Euros","212,678.39 Euros",Servicios,"85311300-Servicios de bienestar social proporcionados a niños y jóvenes., 92000000-Servicios de esparcimiento, culturales y deportivos.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Formalizado,ATLANTIC PONTE 2000 S.L.,1,"41,457.00 Euros",No disponible,nan
624,211_2023_561,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Organización de la 1ª edición del Gran Premio Internacional Cidade da Coruña de Frontón de 36 metros en la ciudad de A Coruña,No hay financiación con fondos de la UE,"24,998.76 Euros","24,998.76 Euros",Servicios,92622000-Servicios de organización de espectáculos deportivos.,España - A Coruña,No aplica,Negociado sin publicidad,Ordinaria,Electrónica,nan,Formalizado,FEDERACIÓN GALEGA DE PELOTA,1,"24,998.76 Euros",No disponible,nan
625,510_2023_5,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicios de Organización, Producción y Difusión de Acciones para Dinamizar el Comercio Local con motivo de la celebración del Samaín",No hay financiación con fondos de la UE,"49,570.21 Euros","148,710.63 Euros",Servicios,79952000-Servicios de eventos.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Formalizado,PUERTAS AFUERA COMUNICACION MEDIOAMBIENTAL Y CULTURAL SL,3,"43,967.00 Euros",No disponible,nan
626,521_2022_1019,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Procedimiento abierto simplificado abreviado para contratar las obras comprendidas en el proyecto de “Reforma o ampliación Parque infantil Sardiñeira (Centro Cívico los Mallos), Presupuestos Participativos 2021",No hay financiación con fondos de la UE,"70,664.63 Euros","70,664.63 Euros",Obras,"45212100-Trabajos de construcción de instalaciones de ocio., 43325000-Equipo para parques y áreas de juego.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,18/05/2023 23:59,Adjudicado,"CANALIS SOLUCIONES TECNOLOGICAS, S.L.",7,"60,241.60 Euros",No disponible,nan
627,100_2022_19,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Servicio de Monedero Digital Millenium QR,No hay financiación con fondos de la UE,"238,512.40 Euros","238,512.40 Euros",Servicios,"72000000-Servicios TI: consultoría, desarrollo de software, Internet y apoyo., 66110000-Servicios bancarios.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Formalizado,ABANCA,2,"119,256.20 Euros",No disponible,nan
628,370_2022_67,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicio bancario de instalación de Terminales Punto de Venta en las dependencias del Ayuntamiento de A Coruña, por lotes",No hay financiación con fondos de la UE,"80,000.00 Euros","192,000.00 Euros",Servicios,66110000-Servicios bancarios.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
629,541_2023_234,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Fabricación y colocación de 6 Escaleras de aluminio para el acceso de nichos en el Cementerio Municipal de San Amaro,No hay financiación con fondos de la UE,"24,793.39 Euros","24,793.39 Euros",Suministros,44233000-Escaleras.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"Cimbra Contracts, S.L.",2,"24,400.00 Euros",No disponible,nan
630,10C_2023_3,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicio de salvamento, socorrismo, vigilancia, primeros auxilios y asistencia y transporte sanitario por carretera en las playas de A Coruña",No hay financiación con fondos de la UE,"451,285.75 Euros","902,571.50 Euros",Servicios,"75241000-Servicios de seguridad pública., 63725000-Servicios de salvamento y puesta a flote., 75252000-Servicios de rescate., 85143000-Servicios de ambulancia.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Formalizado,TOP RESCUE SL,2,"445,300.00 Euros",No disponible,nan
631,525_2022_123,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Suministro e instalación equipamiento de mamparas en la planta primera del Mercado Municipal de Adormideras,No hay financiación con fondos de la UE,"26,664.80 Euros","26,664.80 Euros",Suministros,44212329-Mamparas de seguridad.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,09/05/2023 23:59,Adjudicado,Aluman Sistemas SLU,3,"22,994.91 Euros",No disponible,nan
632,238_2023_16,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento abierto simplificado abreviado para contratar el servicio de campamento urbano juvenil para el verano de 2023,No hay financiación con fondos de la UE,"19,620.20 Euros","19,620.20 Euros",Servicios,"92000000-Servicios de esparcimiento, culturales y deportivos.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,21/04/2023 23:59,Adjudicado,Oxígeno Gestión S.L.N.E.,1,"15,050.00 Euros",No disponible,nan
633,231_2023_47,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento abierto simplificado abreviado para contratar el servicio de encuadernación de prensa diaria y otros servicios relacionados para la Biblioteca de Estudios Locales,No hay financiación con fondos de la UE,"4,938.50 Euros","19,754.00 Euros",Servicios,79971200-Servicios de encuadernación de libros.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,12/04/2023 23:59,Adjudicado,Bloga Gráfica S.L.,1,27.00 Euros,No disponible,nan
634,541_2022_1278,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Suministro para la instalación y puesta en marcha de un sistema de control de calidad de las aguas de baño en la Playa de Oza de acuerdo con la estrategia integral de desarrollo urbano sostenible (EIDUS) de A Coruña, financiado al 80% por el Fondo Europeo de Desarrollo Regional (FEDER)",Fondo Europeo de Desarrollo Regional,"44,214.88 Euros","44,214.88 Euros",Suministros,"34515000-Estructuras flotantes., 38424000-Equipo de medida y de control.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Formalizado,"Sidmar, Estudios y Servicios Oceanográficos S.L.",3,"42,435.21 Euros",No disponible,nan
635,211_2023_289,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Servicio de organización técnica de la carrera popular Coruña 10 para el año 2023,No hay financiación con fondos de la UE,"34,818.00 Euros","47,358.00 Euros",Servicios,92622000-Servicios de organización de espectáculos deportivos.,España - A Coruña,No aplica,Negociado sin publicidad,Ordinaria,Electrónica,nan,Formalizado,Federación Galega de Atletismo,1,"34,818.00 Euros",No disponible,nan
636,527_2022_36,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Dotación del Mobiliario para la realización de Ferias y Mercados en la ciudad. Por lotes. Cofinanciado en un 80 % por el Fondo Europeo de Desarrollo Regional (FEDER) en el marco del Programa Operativo Plurirregional de España 2014-2020,Fondo Europeo de Desarrollo Regional,"197,059.62 Euros","197,059.62 Euros",Suministros,"39100000-Mobiliario., 18936000-Bolsas textiles., 39151100-Estanterías., 39153100-Atriles., 39154000-Equipamiento de exposición., 39295100-Sombrillas., 44212000-Productos estructurales y partes correspondientes, excepto edificios prefabricados.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
637,521_2022_822,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Ejecución de las obras contenidas en el proyecto parques infantiles adaptados para niños/as con movilidad reducida en 5 lugares.,No hay financiación con fondos de la UE,"194,589.40 Euros","194,589.40 Euros",Obras,"45212100-Trabajos de construcción de instalaciones de ocio., 43325000-Equipo para parques y áreas de juego.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,Jardineria Arce S.L.,2,"174,157.51 Euros",No disponible,nan
